,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,SimCo_Base,SimCo_Base_exit_status,SimCo_RoundRobin,SimCo_RoundRobin_exit_status,SimCo_Skip,SimCo_Skip_exit_status,SimCo_SCC,SimCo_SCC_exit_status,SimCo_Jump,SimCo_Jump_exit_status,SimCo_EarlyTaint,SimCo_EarlyTaint_exit_status,SimCo_Merge,SimCo_Merge_exit_status
0,data/automata/random/TGBA.hoa:1.1-25.7,2,5,11,11,2,1,3,1,0,345.0,ok,356.0,ok,267.0,ok,84.0,ok,345.0,ok,334.0,ok,340.0,ok
1,data/automata/random/TGBA.hoa:26.1-41.7,2,3,4,4,2,1,0,0,0,16.0,ok,15.0,ok,12.0,ok,13.0,ok,12.0,ok,15.0,ok,16.0,ok
2,data/automata/random/TGBA.hoa:42.1-55.7,2,2,3,3,2,1,0,0,0,13.0,ok,13.0,ok,10.0,ok,10.0,ok,13.0,ok,13.0,ok,13.0,ok
3,data/automata/random/TGBA.hoa:56.1-73.7,2,4,5,5,2,2,0,0,0,19.0,ok,18.0,ok,15.0,ok,16.0,ok,19.0,ok,18.0,ok,19.0,ok
4,data/automata/random/TGBA.hoa:74.1-94.7,2,4,8,8,2,1,2,1,0,257.0,ok,302.0,ok,186.0,ok,78.0,ok,267.0,ok,275.0,ok,252.0,ok
5,data/automata/random/TGBA.hoa:95.1-121.7,2,6,12,12,2,2,2,1,0,44.0,ok,53.0,ok,36.0,ok,29.0,ok,56.0,ok,51.0,ok,44.0,ok
6,data/automata/random/TGBA.hoa:122.1-154.7,2,7,17,17,2,1,2,1,0,638.0,ok,713.0,ok,494.0,ok,165.0,ok,635.0,ok,661.0,ok,600.0,ok
7,data/automata/random/TGBA.hoa:155.1-183.7,2,6,14,14,2,2,4,1,0,166.0,ok,175.0,ok,134.0,ok,52.0,ok,155.0,ok,173.0,ok,166.0,ok
8,data/automata/random/TGBA.hoa:184.1-210.7,2,6,12,12,2,2,2,1,0,82.0,ok,86.0,ok,65.0,ok,55.0,ok,82.0,ok,86.0,ok,82.0,ok
9,data/automata/random/TGBA.hoa:211.1-224.7,2,2,3,3,2,1,1,1,0,13.0,ok,15.0,ok,10.0,ok,10.0,ok,13.0,ok,14.0,ok,13.0,ok
10,data/automata/random/TGBA.hoa:225.1-252.7,2,7,12,12,2,2,3,1,0,102.0,ok,106.0,ok,76.0,ok,45.0,ok,102.0,ok,103.0,ok,102.0,ok
11,data/automata/random/TGBA.hoa:253.1-282.7,2,6,15,15,2,1,1,1,0,265.0,ok,292.0,ok,224.0,ok,106.0,ok,265.0,ok,291.0,ok,265.0,ok
12,data/automata/random/TGBA.hoa:283.1-304.7,2,4,9,9,2,1,2,1,0,94.0,ok,100.0,ok,71.0,ok,41.0,ok,94.0,ok,99.0,ok,94.0,ok
13,data/automata/random/TGBA.hoa:305.1-327.7,2,5,9,9,2,2,2,1,0,55.0,ok,70.0,ok,36.0,ok,25.0,ok,55.0,ok,63.0,ok,55.0,ok
14,data/automata/random/TGBA.hoa:328.1-355.7,2,6,13,13,2,1,1,1,0,420.0,ok,451.0,ok,322.0,ok,143.0,ok,519.0,ok,454.0,ok,414.0,ok
15,data/automata/random/TGBA.hoa:356.1-376.7,2,4,8,8,2,1,1,1,0,116.0,ok,116.0,ok,91.0,ok,60.0,ok,105.0,ok,116.0,ok,116.0,ok
16,data/automata/random/TGBA.hoa:377.1-402.7,2,5,12,12,2,1,3,1,0,174.0,ok,174.0,ok,133.0,ok,46.0,ok,174.0,ok,169.0,ok,174.0,ok
17,data/automata/random/TGBA.hoa:403.1-434.7,2,7,16,16,2,1,3,1,0,1479.0,ok,1587.0,ok,1082.0,ok,352.0,ok,1479.0,ok,1506.0,ok,1325.0,ok
18,data/automata/random/TGBA.hoa:435.1-469.7,2,7,19,19,2,1,2,1,0,689.0,ok,687.0,ok,507.0,ok,183.0,ok,700.0,ok,682.0,ok,652.0,ok
19,data/automata/random/TGBA.hoa:470.1-501.7,2,7,16,16,2,1,1,1,0,238.0,ok,248.0,ok,186.0,ok,73.0,ok,277.0,ok,245.0,ok,238.0,ok
20,data/automata/random/TGBA.hoa:502.1-533.7,2,7,16,16,2,1,3,1,0,518.0,ok,597.0,ok,412.0,ok,147.0,ok,518.0,ok,561.0,ok,507.0,ok
21,data/automata/random/TGBA.hoa:534.1-567.7,2,7,18,18,2,1,2,1,0,1012.0,ok,969.0,ok,665.0,ok,243.0,ok,1006.0,ok,935.0,ok,846.0,ok
22,data/automata/random/TGBA.hoa:568.1-594.7,2,6,12,12,2,2,1,1,0,76.0,ok,76.0,ok,58.0,ok,43.0,ok,70.0,ok,76.0,ok,76.0,ok
23,data/automata/random/TGBA.hoa:595.1-627.7,2,7,17,17,2,1,3,1,0,205.0,ok,250.0,ok,152.0,ok,64.0,ok,205.0,ok,221.0,ok,191.0,ok
24,data/automata/random/TGBA.hoa:628.1-647.7,2,4,7,7,2,1,0,0,0,23.0,ok,21.0,ok,18.0,ok,20.0,ok,13.0,ok,21.0,ok,23.0,ok
25,data/automata/random/TGBA.hoa:648.1-679.7,2,6,17,17,2,1,2,1,0,578.0,ok,584.0,ok,432.0,ok,196.0,ok,132.0,ok,565.0,ok,564.0,ok
26,data/automata/random/TGBA.hoa:680.1-702.7,2,5,9,9,2,2,0,0,0,22.0,ok,22.0,ok,16.0,ok,22.0,ok,21.0,ok,22.0,ok,22.0,ok
27,data/automata/random/TGBA.hoa:703.1-727.7,3,5,11,11,2,1,1,1,0,54.0,ok,54.0,ok,41.0,ok,29.0,ok,54.0,ok,54.0,ok,54.0,ok
28,data/automata/random/TGBA.hoa:728.1-742.7,3,2,4,4,2,1,1,1,0,27.0,ok,27.0,ok,20.0,ok,17.0,ok,27.0,ok,27.0,ok,27.0,ok
29,data/automata/random/TGBA.hoa:743.1-773.7,3,7,15,15,2,1,1,1,0,69.0,ok,70.0,ok,50.0,ok,52.0,ok,75.0,ok,70.0,ok,69.0,ok
30,data/automata/random/TGBA.hoa:774.1-808.7,3,7,19,19,2,1,2,1,0,466.0,ok,509.0,ok,352.0,ok,136.0,ok,466.0,ok,497.0,ok,466.0,ok
31,data/automata/random/TGBA.hoa:809.1-837.7,3,6,14,14,2,1,2,1,0,236.0,ok,249.0,ok,181.0,ok,69.0,ok,232.0,ok,244.0,ok,236.0,ok
32,data/automata/random/TGBA.hoa:838.1-855.7,3,4,5,5,2,1,0,0,0,21.0,ok,21.0,ok,16.0,ok,18.0,ok,21.0,ok,21.0,ok,21.0,ok
33,data/automata/random/TGBA.hoa:856.1-887.7,3,7,16,16,2,1,2,1,0,261.0,ok,269.0,ok,200.0,ok,62.0,ok,261.0,ok,266.0,ok,261.0,ok
34,data/automata/random/TGBA.hoa:888.1-903.7,3,3,4,4,2,1,0,0,0,13.0,ok,13.0,ok,9.0,ok,10.0,ok,13.0,ok,13.0,ok,13.0,ok
35,data/automata/random/TGBA.hoa:904.1-937.7,3,7,18,18,2,1,2,1,0,379.0,ok,470.0,ok,272.0,ok,106.0,ok,429.0,ok,428.0,ok,353.0,ok
36,data/automata/random/TGBA.hoa:938.1-969.7,3,7,16,16,2,4,2,1,0,190.0,ok,204.0,ok,146.0,ok,44.0,ok,205.0,ok,192.0,ok,190.0,ok
37,data/automata/random/TGBA.hoa:970.1-997.7,3,6,13,13,2,2,2,1,0,54.0,ok,56.0,ok,44.0,ok,32.0,ok,54.0,ok,56.0,ok,54.0,ok
38,data/automata/random/TGBA.hoa:998.1-1022.7,3,6,10,10,2,2,0,0,0,23.0,ok,23.0,ok,17.0,ok,20.0,ok,23.0,ok,23.0,ok,23.0,ok
39,data/automata/random/TGBA.hoa:1023.1-1050.7,3,6,13,13,2,1,1,1,0,98.0,ok,96.0,ok,75.0,ok,61.0,ok,96.0,ok,96.0,ok,98.0,ok
40,data/automata/random/TGBA.hoa:1051.1-1078.7,3,6,13,13,2,1,1,1,0,135.0,ok,131.0,ok,98.0,ok,55.0,ok,135.0,ok,128.0,ok,135.0,ok
41,data/automata/random/TGBA.hoa:1079.1-1096.7,3,3,6,6,2,1,0,0,0,16.0,ok,16.0,ok,12.0,ok,13.0,ok,16.0,ok,16.0,ok,16.0,ok
42,data/automata/random/TGBA.hoa:1097.1-1113.7,3,3,5,5,2,1,0,0,0,20.0,ok,20.0,ok,16.0,ok,17.0,ok,20.0,ok,20.0,ok,20.0,ok
43,data/automata/random/TGBA.hoa:1114.1-1146.7,3,7,17,17,2,1,3,1,0,89.0,ok,118.0,ok,74.0,ok,67.0,ok,122.0,ok,114.0,ok,89.0,ok
44,data/automata/random/TGBA.hoa:1147.1-1181.7,3,7,19,19,2,2,2,1,0,204.0,ok,201.0,ok,159.0,ok,103.0,ok,216.0,ok,201.0,ok,204.0,ok
45,data/automata/random/TGBA.hoa:1182.1-1194.7,3,2,2,2,2,1,0,0,0,10.0,ok,9.0,ok,7.0,ok,7.0,ok,7.0,ok,9.0,ok,10.0,ok
46,data/automata/random/TGBA.hoa:1195.1-1218.7,3,5,10,10,2,1,0,0,0,24.0,ok,24.0,ok,18.0,ok,21.0,ok,24.0,ok,24.0,ok,24.0,ok
